Myotis.daubentonii,Myotis.mystacinus,Nyctalus.noctula,Myotis.myotis,Eptesicus.nilssonii,Pipistrellus.pipistrellus,Myotis.nigricans,Myotis.brandtii,Tylonycteris.pachypus,Myotis.nattereri,Corynorhinus.townsendii,Rhinolophus.pearsonii,Rhinolophus.landeri,Rousettus.aegyptiacus,Eidolon.helvum,Micropteropus.pusillus,Epomophorus.gambianus,Pteropus.hypomelanus,Ptenochirus.jagori,Harpyionycteris.whiteheadi,Desmodus.rotundus,Carollia.perspicillata,Glossophaga.soricina,Sturnira.lilium,Micronycteris.microtis,Artibeus.toltecus,Artibeus.planirostris,Phyllostomus.hastatus,Vampyressa.bidens,Artibeus.obscurus,Monophyllus.redmani,Brachyphylla.cavernarum,Artibeus.jamaicensis,Macrotus.waterhousii,Diaemus.youngi,Phyllonycteris.poeyi,Lophostoma.silvicolum,Artibeus.lituratus,Noctilio.leporinus,Pteronotus.davyi,Pteronotus.personatus,Miniopterus.natalensis,Miniopterus.schreibersii,Triaenops.persicus,Hipposideros.gigas,Hipposideros.diadema,Hipposideros.larvatus,Megaderma.lyra,Rhinolophus.borneensis,Megaerops.niphanae,Rhinolophus.acuminatus,Rhinolophus.sinicus,Coleura.afra,Hipposideros.armiger,Hipposideros.fulvus,Taphozous.melanopogon,Chaerephon.plicatus,Eidolon.dupreanum,Anoura.geoffroyi,Sturnira.mordax,Vampyressa.thyone,Carollia.castanea,Platyrrhinus.vittatus,Carollia.sowelli,Myotis.keaysi,Uroderma.bilobatum
0,0,0,0,0,0,0.082900887,0,0,0,0.0200148,0,0,0,0,0,0,0,0,0,0.095347934,0.087025933,0.112887329,0.104853598,0.183961821,0.341968871,0,0.059251981,0.012631084,0.001263454,0.106570748,0.007315265,1,0.289416464,0.041993439,0.097476103,0.050428029,0.11199644,0.11309949,0.32692889,0.249022851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130640668,0.013249979,0.191001334,0.131968698,0.15395688,0.404502971,0.310147111,0.080409459
0,0,0,0,0,0,0.011559381,0,0,0,0.036867258,0,0,0,0,0,0,0,0,0,0.034367098,0.006450537,0.039748708,0.035936139,0.041227447,0.360901875,0,0,0,0,0.236502838,0,0.289416464,1,0.003986317,0.225345712,0,0.03668449,0.038869564,0.139377354,0.109943322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067630802,0,0.024029262,0,0,0.065361291,0.036090598,0.005940048
0,0,0,0,0,0,0.884574477,0,0,0,0.000315474,0,0,0,0,0,0,0,0,0,0.724306623,0.887134186,0.822663262,0.835104935,0.269468213,0.014989713,0.595782326,0.865333214,0.458487563,0.829956467,0,0,0.041993439,0.003986317,1,0,0.843000086,0.848140568,0.849000025,0.156677257,0.254847699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428998476,0.001119977,0.267191437,0.305454414,0.055127471,0.017777874,0.141928918,0.844396048
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.885065148,0,0.097476103,0.225345712,0,1,0,0,0.012826376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.823590088,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6682211,0.862686506,0.801840309,0.762962849,0.279186467,0.007126379,0.531187114,0.9378719,0.537269457,0.816968538,0,0,0.050428029,0,0.843000086,0,1,0.840591409,0.782399876,0.158788018,0.271767503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41777801,0.001129563,0.331234567,0.375521055,0.06200136,0.010363082,0.165230621,0.896454723
0,0,0,0,0,0,0.89377852,0,0,0,0.009310799,0,0,0,0,0,0,0,0,0,0.79005908,0.938183325,0.943907732,0.890573006,0.300976662,0.055658947,0.511781169,0.865092326,0.457240842,0.773906527,0,2.46E-05,0.11199644,0.03668449,0.848140568,0,0.840591409,1,0.885787918,0.215689422,0.323305618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.493399203,0.001819797,0.314429901,0.336527681,0.05339894,0.053239152,0.194015628,0.873467258
0,0,0,0,0,0,0.903882582,0,0,0,0.001576636,0,0,0,0,0,0,0,0,0,0.79304984,0.887743995,0.857626626,0.897116996,0.285927042,0.038303375,0.535533006,0.81621376,0.417812563,0.740238661,0.014211764,0.001029098,0.11309949,0.038869564,0.849000025,0.012826376,0.782399876,0.885787918,1,0.193788223,0.280597439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.431745916,0.000786096,0.281048246,0.305273906,0.050614208,0.045941833,0.168093884,0.818652568
0,0,0,0,0,0,0.176784486,0,0,0,0.031220577,0,0,0,0,0,0,0,0,0,0.184584553,0.181643318,0.221584258,0.207076763,0.245376846,0.211984719,0.104875758,0.160138003,0.139364519,0.088758734,0,0.000550359,0.32692889,0.139377354,0.156677257,0,0.158788018,0.215689422,0.193788223,1,0.330936346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208962088,0.000873897,0.252298558,0.256938358,0.187929115,0.188380847,0.356617539,0.182360991
0,0,0,0,0,0,0.276369989,0,0,0,0.022659991,0,0,0,0,0,0,0,0,0,0.263402025,0.288631036,0.31379466,0.301150237,0.133623772,0.166255206,0.124478995,0.273643892,0.129120001,0.213093331,0,0,0.249022851,0.109943322,0.254847699,0,0.271767503,0.323305618,0.280597439,0.330936346,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.295769743,0.005458807,0.326767058,0.26370575,0.130013079,0.154393103,0.321608085,0.295260981
0,0,0,0,0,0,0,0,0,0,0,0,0.134147167,0.12769344,0.162614424,0.006184967,0.010560925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.124757813,0.003986758,0,0,0,0,0,0,0,0.022562112,0,0,0,0,0,0,0,0,0,0,0,0,0
0.083381282,0.240914268,0.144963119,0.486058987,0.010399595,0.25031203,0,0.061494024,0,0.310450651,0,0,0.010373443,0.020413491,0.010513946,0.015881502,0.0138771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.009003256,0,0,0,0,0,0,0,0.000290863,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.001709371,0,0,0,0,0,0,0.048312673,0.128973292,0.040863145,0.013489959,0.025585099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124757813,0,1,0.009000608,0,0,0.001032922,0,0,0,0,0.072515496,0,0.002060743,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.292547989,0.121907882,0.263859649,0.243251303,0.154553195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003986758,0.009003256,0.009000608,1,0,0,0,0,0,0,0,0.108934943,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.000403542,0,0,0,0,0,0.461302718,0,0,0.030272146,0,0,0,0,0,0.151460795,0.082054565,0.05170875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.356751261,0.092963326,0.220288006,0.135109119,0.279416761,0.000181857,0,0.113764767,0,0.360429362,0.456852085,0,0,0,0,0,0,0,0,0
0,0,0.017243245,0,0,0.011010184,0,0,0.73141758,0,0,0.213097992,0,0,0,0,0,0.000517495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.356751261,1,0.319080064,0.102071367,0.351569083,0.287177307,0.05042832,0,0.413215442,0,0.535605109,0.493109633,0,0,0,0,0,0,0,0,0
0.00088113,0,0.03461847,0,0,0.029161524,0,0,0.305500138,0,0,0.206011388,0,0,0,0,0,8.15E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001032922,0,0.092963326,0.319080064,1,0.001255984,0.213387816,0.124380713,0.088067659,0,0.35699754,0.360462536,0.431620378,0.134543543,0,0,0,0,0,0,0,0,0
0,0,0.000146573,0,0,0,0,0,0.171813682,0,0,0.000979402,0,0,0,0,0,0.000167713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220288006,0.102071367,0.001255984,1,0.003971243,0.044594351,6.03E-05,0,0.001624615,0,0.126438827,0.292474283,0,0,0,0,0,0,0,0,0
0,0,0.010187753,0,0,0,0,0,0.282226134,0,0,0.167497571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135109119,0.351569083,0.213387816,0.003971243,1,0.287211194,0.010490713,0,0.253715133,0,0.198098865,0.093891786,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.251876664,0,0,0.035391862,0,0,0,0,0,0.00024678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279416761,0.287177307,0.124380713,0.044594351,0.287211194,1,0.000238098,0,0.164307378,0,0.185409793,0.250442432,0,0,0,0,0,0,0,0,0
0.014331649,0,0.018400791,0,0,0.111976365,0,0,0.059932042,0,0,0.541383271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000181857,0.05042832,0.088067659,6.03E-05,0.010490713,0.000238098,1,0,0.42987929,0.004422583,0.086947427,0.012481662,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.177237758,0.135029041,0.126216801,0.199947229,0.172334189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022562112,0.000290863,0.072515496,0.108934943,0,0,0,0,0,0,0,1,0,0,0,0,0.013795399,0,0,0,0,0,0,0,0
0.010985927,0,0.040367073,0,0,0.095000891,0,0,0.390029003,0,0,0.666608916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113764767,0.413215442,0.35699754,0.001624615,0.253715133,0.164307378,0.42987929,0,1,0.003371603,0.359381776,0.162576127,0,0,0,0,0,0,0,0,0
