H.P,ML.PACo.resid,ML.PACo.median,ML.PACo.1.5IQR,ML.ParaFit.F1,ML.ParaFit.p,ML.ParaFit.sig,ML.overlap.PACo.resid,ML.overlap.PACo.median,ML.overlap.PACo.1.5IQR,ML.overlap.ParaFit.F1,ML.overlap.ParaFit.p,ML.overlap.ParaFit.sig,BEAST.PACo.resid,BEAST.PACo.median,BEAST.PACo.1.5IQR,BEAST.ParaFit.F1,BEAST.ParaFit.p,BEAST.ParaFit.sig,BEAST.overlap.PACo.resid,BEAST.overlap.PACo.median,BEAST.overlap.PACo.1.5IQR,BEAST.overlap.ParaFit.F1,BEAST.overlap.ParaFit.p,BEAST.overlap.ParaFit.sig,Carrier
Monophyllus.redmani-KJ530744,0.026944367,1,1,0.107920323,0.00059994,1,0.421951833,0,1,0.148198792,0.203679632,0,0.055309677,1,1,0.262234,9.999E-05,1,0.392958354,0,1,0.043122089,0.377362264,0,bat
Desmodus.rotundus-HM597196,0.049376199,0,1,0.104361929,0.00019998,1,0.252179635,1,1,0.764628487,9.999E-05,1,0.140541541,0,1,0.215482457,9.999E-05,1,0.266522572,1,1,0.615576156,9.999E-05,1,bat
Desmodus.rotundus-HM597195,0.048974076,0,1,0.102932489,9.999E-05,1,0.249315021,1,1,0.753598303,9.999E-05,1,0.140541541,0,1,0.215482457,9.999E-05,1,0.266522572,1,1,0.615576156,9.999E-05,1,bat
Myotis.daubentonii-KF003129,0.072783182,0,1,0.074072791,0.00039996,1,0.495956362,0,1,0.209668346,0.00309969,1,0.070999201,1,1,0.224358814,9.999E-05,1,0.392473161,0,1,0.220853727,0.0009999,1,bat
Myotis.daubentonii-AJ871613,0.093219108,0,1,0.055787707,0.01079892,1,0.454153627,0,1,0.098193255,0.275772423,0,0.110697973,0,1,0.260089746,9.999E-05,1,0.332401201,0,1,0.306898713,0.00039996,1,bat
Myotis.mystacinus-AJ871612,0.116519584,0,0,0.056449606,0.00819918,1,0.480264466,0,1,0.04927877,0.483251675,0,0.097695874,0,1,0.26042817,9.999E-05,1,0.323099791,0,1,0.329191472,9.999E-05,1,bat
Eptesicus.nilssonii-KF003115,0.137298905,0,0,0.064572282,0.00329967,1,0.443595091,0,1,0.062529371,0.405059494,0,0.077468417,1,1,0.235779216,9.999E-05,1,0.324178332,0,1,0.231824038,0.00219978,1,bat
Myotis.brandtii-KF003137,0.100399247,0,1,0.061003773,0.00689931,1,0.394275007,0,1,0.10707562,0.211278872,0,0.093764236,0,1,0.260271573,9.999E-05,1,0.245057392,1,1,0.302608608,0.00019998,1,ectoparasite
Pipistrellus.pipistrellus-AJ871614,0.149767049,0,0,0.092431162,0.00049995,1,0.475600218,0,1,0.074287529,0.412358764,0,0.069624278,1,1,0.245342385,9.999E-05,1,0.345966831,0,1,0.325565791,9.999E-05,1,bat
Nyctalus.noctula-AJ871615,0.114472063,0,0,0.089015808,0.00089991,1,0.345111895,0,1,0.108981518,0.265173483,0,0.056570624,1,1,0.243409664,9.999E-05,1,0.241829991,1,1,0.329428408,9.999E-05,1,bat
Corynorhinus.townsendii-JX416236,0.082541084,0,1,0.038934684,0.03929607,1,0.456962854,0,1,-0.033301526,0.907809219,0,0.072220374,1,1,0.219260274,9.999E-05,1,0.481573072,0,1,0.018570322,0.557144286,0,ectoparasite
Pipistrellus.pipistrellus-AJ871611,0.163114884,0,0,0.062121444,0.00379962,1,0.444819311,0,1,0.013122879,0.737926207,0,0.061640621,1,1,0.239469505,9.999E-05,1,0.266631004,1,1,0.315691719,9.999E-05,1,bat
Tylonycteris.pachypus-JX416246,0.162239332,0,0,0.054654598,0.00119988,1,0.45861929,0,1,0.339235455,9.999E-05,1,0.143767463,0,1,0.194314788,9.999E-05,1,0.603472127,0,0,-0.090442194,0.98490151,0,ectoparasite
Myotis.nattereri-JX416241,0.155112918,0,0,0.062251241,0.00079992,1,0.503327274,0,1,0.230028779,0.00069993,1,0.147128752,0,1,0.215714059,9.999E-05,1,0.350073828,0,1,0.312697147,9.999E-05,1,ectoparasite
